mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
18	18	0	ii%65(9)		f	i		ii%65(9)	ii		%	65	9			%7	1	1	1, 8, 0, 2	-3	2.0	1.0
18	18	1/8	ii%65		f	i		ii%65	ii		%	65				%7	1	1	1, 8, 0, 2		2.0	1.0
18	18	1/2	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
19	19	0	ii%43		f	i		ii%43	ii		%	43				%7	1	1	8, 0, 2, 1		2.0	8.0
19	19	1/2	i43		f	i		i43	i			43				mm7	1	1	1, -2, 0, -3		0.0	1.0
20	20	0	V2		f	i		V2	V			2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
20	20	1/2	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
20	20	7/8	V7		f	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
21	21	0	i		f	i		i	i							m	1	1	0, -3, 1		0.0	0.0
21	21	1/2	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
22	22	0	iv(4)		f	i		iv(4)	iv				4			m	1	1	-1, -2, 0		-1.0	-1.0
22	22	1/4	ii%65		f	i		ii%65	ii		%	65				%7	1	1	1, 8, 0, 2		2.0	1.0
22	22	1/2	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
22	22	3/4	iv65		f	i		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
23	23	0	III6		f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
23	23	1/2	VI		f	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
23	23	3/4	V/III		f	i		V/III	V					III		M	1	1	-2, 2, -1		-2.0	-2.0
24	24	0	III}		f	i		III	III						}	M	1	1	-3, 1, -2		-3.0	-3.0
24	24	3/8	V7/III		f	i		V7/III	V			7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
24	24	1/2	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
25	25	0	III6{		f	i		III6	III			6			{	M	1	1	1, -2, -3		-3.0	1.0
25	25	3/8	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
25	25	1/2	iv6(97)		f	i		iv6(97)	iv			6	97			m	1	1	-4, 0, -3	1	-1.0	-4.0
25	25	5/8	iv6		f	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
25	25	3/4	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
25	25	7/8	ii7(9)/III		f	i		ii7(9)/III	ii			7	9	III		mm7	1	1	-1, -4, 0, -3	1	-1.0	-1.0
26	26	0	V/III		f	i		V/III	V					III		M	1	1	-2, 2, -1		-2.0	-2.0
26	26	3/8	III6		f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
26	26	1/2	i(7)		f	i		i(7)	i				7			m	1	1	0, -3, 1	-2	0.0	0.0
26	26	5/8	iv43		f	i		iv43	iv			43				mm7	1	1	0, -3, -1, -4		-1.0	0.0
26	26	3/4	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
26	26	7/8	IVM7/III		f	i		IVM7/III	IV		M	7		III		MM7	1	1	-4, 0, -3, 1		-4.0	-4.0
27	27	0	vii%7/III		f	i		vii%7/III	vii		%	7		III		%7	1	1	2, 1, 8, 0		2.0	2.0
27	27	1/4	V(6)/III		f	i		V(6)/III	V				6	III		M	1	1	-2, 2, 1		-2.0	-2.0
27	27	3/8	V7/III		f	i		V7/III	V			7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
27	27	1/2	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
27	27	5/8	viio/III		f	i		viio/III	vii		o			III		o	1	1	2, -1, -4		2.0	2.0
27	27	3/4	i7		f	i		i7	i			7				mm7	1	1	0, -3, 1, -2		0.0	0.0
27	27	7/8	v6		f	i		v6	v			6				m	1	1	-2, 2, 1		1.0	-2.0
28	28	0	VII		f	i		VII	VII							M	1	1	-2, 2, -1		-2.0	-2.0
28	28	1/4	V43/III		f	i		V43/III	V			43		III		Mm7	1	1	-1, -4, -2, 2		-2.0	-1.0
28	28	3/8	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
28	28	1/2	V6/III		f	i		V6/III	V			6		III		M	1	1	2, -1, -2		-2.0	2.0
28	28	3/4	i(4)		f	i		i(4)	i				4			m	1	1	0, -1, 1		0.0	0.0
28	28	7/8	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
29	29	0	V43/VI		f	i		V43/VI	V			43		VI		Mm7	1	1	-2, -5, -3, 1		-3.0	-2.0
29	29	1/4	#vi%7		f	i		#vi%7	#vi		%	7				%7	1	1	3, 2, 9, 1		3.0	3.0
29	29	3/8	vi(#7)		f	i		vi(#7)	vi				#7			m	1	1	-4, -7, -3	8	-4.0	-4.0
29	29	1/2	III6		f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
29	29	3/4	i43		f	i		i43	i			43				mm7	1	1	1, -2, 0, -3		0.0	1.0
29	29	7/8	#ivo7		f	i		#ivo7	#iv		o	7				o7	1	1	6, 3, 0, -3		6.0	6.0
30	30	0	#viio43(4)		f	i		#viio43(4)	#vii		o	43	4			o7	1	1	-1, -4, 5, -3		5.0	-1.0
30	30	1/4	#viio43		f	i		#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
30	30	3/8	I6		f	i		I6	I			6				M	1	1	4, 1, 0		0.0	4.0
30	30	1/2	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
30	30	3/4	VIM43		f	i		VIM43	VI		M	43				MM7	1	1	-3, 1, -4, 0		-4.0	-3.0
30	30	7/8	.Fr6/iv		f	i		Fr6/iv	V	Fr		7	b5	V/iv		M	1	1	1, 5, -5, -1		1.0	1.0
31	31	0	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
31	31	3/8	#viio2		f	i		#viio2	#vii		o	2				o7	1	1	-4, 5, 2, -1		5.0	-4.0
31	31	1/2	i64		f	i		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
31	31	5/8	iio6		f	i		iio6	ii		o	6				o	1	1	-1, -4, 2		2.0	-1.0
31	31	3/4	i(+4)		f	i		i(+4)	i				+4			m	1	1	0, -3, 1	-1	0.0	0.0
31	31	7/8	V2/VII		f	i		V2/VII	V			2		VII		Mm7	1	1	-3, -1, 3, 0		-1.0	-3.0
32	32	0	V64	1	f	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
32	32	1/8	#vio6	1	f	i		#vio6	#vi		o	6				o	1	1	0, -3, 3		3.0	0.0
32	32	1/4	V	1	f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
32	32	1/2	i}	1	f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
33	32	0	V64	2	f	i		V64	V			64				M	1	1	2, 1, 5		1.0	2.0
33	32	1/8	#vio6	2	f	i		#vio6	#vi		o	6				o	1	1	0, -3, 3		3.0	0.0
33	32	1/4	V	2	f	i		V	V							M	1	1	1, 5, 2		1.0	1.0
33	32	1/2	i}	2	f	i		i	i						}	m	1	1	0, -3, 1		0.0	0.0
33	32	5/8	V7/v{	2	f	i		V7/v	V			7		v	{	Mm7	1	1	2, 6, 3, 0		2.0	2.0
34	33	0	v.i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
36	35	1/8	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
36	35	1/4	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
36	35	3/8	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
36	35	1/2	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
36	35	5/8	i6		f	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
36	35	7/8	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
37	36	0	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
37	36	1/4	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
37	36	1/2	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
37	36	5/8	i6		f	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
37	36	7/8	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
38	37	0	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
38	37	1/4	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
38	37	1/2	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
38	37	7/8	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
39	38	0	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
39	38	1/8	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
39	38	1/4	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
39	38	3/8	V/III		f	v		V/III	V					III		M	1	1	-2, 2, -1		-2.0	-2.0
39	38	3/4	III		f	v		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
40	39	0	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
40	39	3/8	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
40	39	5/8	VIM7		f	v		VIM7	VI		M	7				MM7	1	1	-4, 0, -3, 1		-4.0	-4.0
40	39	3/4	III64		f	v		III64	III			64				M	1	1	-2, -3, 1		-3.0	-2.0
40	39	7/8	V(4)/III		f	v		V(4)/III	V				4	III		M	1	1	-2, -3, -1		-2.0	-2.0
41	40	0	V/III		f	v		V/III	V					III		M	1	1	-2, 2, -1		-2.0	-2.0
41	40	3/8	IIIM7		f	v		IIIM7	III		M	7				MM7	1	1	-3, 1, -2, 2		-3.0	-3.0
41	40	5/8	v		f	v		v	v							m	1	1	1, -2, 2		1.0	1.0
41	40	3/4	iv(6)		f	v		iv(6)	iv				6			m	1	1	-1, -4, 2		-1.0	-1.0
41	40	7/8	VI(4)		f	v		VI(4)	VI				4			M	1	1	-4, 2, -3		-4.0	-4.0
42	41	0	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
42	41	3/8	.bIIM7		f	v		bIIM7	bII		M	7				MM7	1	1	-5, -1, -4, 0		-5.0	-5.0
42	41	3/4	VI		f	v		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
43	42	0	V64/III		f	v		V64/III	V			64		III		M	1	1	-1, -2, 2		-2.0	-1.0
43	42	1/4	.Ger6		f	v		Ger6	vii	Ger	o	65	b3	V		M	1	1	-4, 0, -3, 6		6.0	-4.0
43	42	1/2	V}		f	v		V	V						}	M	1	1	1, 5, 2		1.0	1.0
44	43	0	i{		f	v		i	i						{	m	1	1	0, -3, 1		0.0	0.0
44	43	1/8	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
44	43	1/4	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
44	43	3/8	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
44	43	1/2	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
44	43	5/8	i6		f	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
44	43	7/8	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
45	44	0	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
45	44	1/4	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
45	44	1/2	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
45	44	5/8	i6		f	v		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
45	44	7/8	i64		f	v		i64	i			64				m	1	1	1, 0, -3		0.0	1.0
46	45	0	iv65		f	v		iv65	iv			65				mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
46	45	1/4	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
46	45	1/2	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
46	45	7/8	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
47	46	0	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
47	46	1/8	iv7		f	v		iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
47	46	1/4	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
47	46	3/8	V7(6)		f	v		V7(6)	V			7	6			Mm7	1	1	1, 5, -3, -1		1.0	1.0
47	46	5/8	V7		f	v		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
47	46	3/4	i}		f	v		i	i						}	m	1	1	0, -3, 1		0.0	0.0
48	47	0	VI{		f	v		VI	VI						{	M	1	1	-4, 0, -3		-4.0	-4.0
48	47	3/8	IV/VI		f	v		IV/VI	IV					VI		M	1	1	-5, -1, -4		-5.0	-5.0
48	47	5/8	ii%7		f	v		ii%7	ii		%	7				%7	1	1	2, 1, 8, 0		2.0	2.0
48	47	3/4	VI64		f	v		VI64	VI			64				M	1	1	-3, -4, 0		-4.0	-3.0
48	47	7/8	V(4)/VI		f	v		V(4)/VI	V				4	VI		M	1	1	-3, -4, -2		-3.0	-3.0
49	48	0	III		f	v		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
49	48	3/8	IV/III		f	v		IV/III	IV					III		M	1	1	-4, 0, -3		-4.0	-4.0
49	48	5/8	i		f	v		i	i							m	1	1	0, -3, 1		0.0	0.0
49	48	3/4	iio64/iv		f	v		iio64/iv	ii		o	64		iv		o	1	1	-5, 1, -2		1.0	-5.0
49	48	7/8	VI(4)/iv		f	v		VI(4)/iv	VI				4	iv		M	1	1	-5, 1, -4		-5.0	-5.0
50	49	0	VI/iv		f	v		VI/iv	VI					iv		M	1	1	-5, -1, -4		-5.0	-5.0
50	49	3/8	.bIIM7/iv		f	v		bIIM7/iv	bII		M	7		iv		MM7	1	1	-6, -2, -5, -1		-6.0	-6.0
50	49	3/4	VI/iv		f	v		VI/iv	VI					iv		M	1	1	-5, -1, -4		-5.0	-5.0
51	50	0	V64/VI		f	v		V64/VI	V			64		VI		M	1	1	-2, -3, 1		-3.0	-2.0
51	50	1/4	.Ger6/iv		f	v		Ger6/iv	vii	Ger	o	65	b3	V/iv		M	1	1	-5, -1, -4, 5		5.0	-5.0
51	50	1/2	V/iv}		f	v		V/iv	V					iv	}	M	1	1	0, 4, 1		0.0	0.0
52	51	0	#iii{		f	v		#iii	#iii						{	m	1	1	4, 1, 5		4.0	4.0
52	51	1/8	iv65/#iii		f	v		iv65/#iii	iv			65		#iii		mm7	1	1	0, 4, 1, 3		3.0	0.0
52	51	1/4	#iii		f	v		#iii	#iii							m	1	1	4, 1, 5		4.0	4.0
52	51	3/8	iv65/#iii		f	v		iv65/#iii	iv			65		#iii		mm7	1	1	0, 4, 1, 3		3.0	0.0
52	51	1/2	#iii		f	v		#iii	#iii							m	1	1	4, 1, 5		4.0	4.0
52	51	5/8	#iii6		f	v		#iii6	#iii			6				m	1	1	1, 5, 4		4.0	1.0
52	51	7/8	#iii64		f	v		#iii64	#iii			64				m	1	1	5, 4, 1		4.0	5.0
53	52	0	iv65/#iii		f	v		iv65/#iii	iv			65		#iii		mm7	1	1	0, 4, 1, 3		3.0	0.0
53	52	1/4	iv7/#iii		f	v		iv7/#iii	iv			7		#iii		mm7	1	1	3, 0, 4, 1		3.0	3.0
53	52	1/2	#iii		f	v		#iii	#iii							m	1	1	4, 1, 5		4.0	4.0
53	52	5/8	#iii6		f	v		#iii6	#iii			6				m	1	1	1, 5, 4		4.0	1.0
53	52	7/8	#iii64		f	v		#iii64	#iii			64				m	1	1	5, 4, 1		4.0	5.0
54	53	0	iv65/#iii		f	v		iv65/#iii	iv			65		#iii		mm7	1	1	0, 4, 1, 3		3.0	0.0
54	53	1/4	iv7/#iii		f	v		iv7/#iii	iv			7		#iii		mm7	1	1	3, 0, 4, 1		3.0	3.0
54	53	1/2	#iii		f	v		#iii	#iii							m	1	1	4, 1, 5		4.0	4.0
54	53	7/8	iv7/#iii		f	v		iv7/#iii	iv			7		#iii		mm7	1	1	3, 0, 4, 1		3.0	3.0
55	54	0	#iii		f	v		#iii	#iii							m	1	1	4, 1, 5		4.0	4.0
55	54	1/8	iv65/#iii		f	v		iv65/#iii	iv			65		#iii		mm7	1	1	0, 4, 1, 3		3.0	0.0
55	54	1/4	#iii		f	v		#iii	#iii							m	1	1	4, 1, 5		4.0	4.0
55	54	3/8	II/V		f	v		II/V	II					V		M	1	1	3, 7, 4		3.0	3.0
55	54	3/4	V		f	v		V	V							M	1	1	1, 5, 2		1.0	1.0
56	55	0	i.V[V}{		f	i	V	V	V						}{	M	1	1	1, 5, 2		1.0	1.0
56	55	1/2	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
56	55	3/4	V7(9)		f	i	V	V7(9)	V			7	9			Mm7	1	1	1, 5, 2, -1	-4	1.0	1.0
57	56	0	i6		f	i	V	i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
57	56	3/8	iv7		f	i	V	iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
57	56	1/2	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
58	57	0	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
58	57	3/8	i		f	i	V	i	i							m	1	1	0, -3, 1		0.0	0.0
58	57	1/2	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
58	57	3/4	i6		f	i	V	i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
58	57	7/8	iv7		f	i	V	iv7	iv			7				mm7	1	1	-1, -4, 0, -3		-1.0	-1.0
59	58	0	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
59	58	1/2	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
59	58	7/8	i6		f	i	V	i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
60	59	0	V7(9)		f	i	V	V7(9)	V			7	9			Mm7	1	1	1, 5, 2, -1	-4	1.0	1.0
60	59	1/2	i(96)		f	i	V	i(96)	i				96			m	1	1	0, -3, -4	2	0.0	0.0
60	59	3/4	#viio7		f	i	V	#viio7	#vii		o	7				o7	1	1	5, 2, -1, -4		5.0	5.0
61	60	0	V		f	i	V	V	V							M	1	1	1, 5, 2		1.0	1.0
61	60	3/8	i7		f	i	V	i7	i			7				mm7	1	1	0, -3, 1, -2		0.0	0.0
61	60	1/2	V/v		f	i	V	V/v	V					v		M	1	1	2, 6, 3		2.0	2.0
62	61	0	V7		f	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
62	61	3/8	.Ger6/iv		f	i	V	Ger6/iv	vii	Ger	o	65	b3	V/iv		M	1	1	-5, -1, -4, 5		5.0	-5.0
62	61	1/2	I]		f	i	V	I	I							M	1	1	0, 4, 1		0.0	0.0
63	62	0	.Ger6/III		f	i		Ger6/III	vii	Ger	o	65	b3	V/III		M	1	1	-7, -3, -6, 3		3.0	-7.0
63	62	1/2	V/III}		f	i		V/III	V					III	}	M	1	1	-2, 2, -1		-2.0	-2.0
64	63	0	III{		f	i		III	III						{	M	1	1	-3, 1, -2		-3.0	-3.0
64	63	1/2	iv6(97)		f	i		iv6(97)	iv			6	97			m	1	1	-4, 0, -3	1	-1.0	-4.0
64	63	5/8	iv6		f	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
64	63	3/4	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
64	63	7/8	ii7(9)/III		f	i		ii7(9)/III	ii			7	9	III		mm7	1	1	-1, -4, 0, -3	1	-1.0	-1.0
65	64	0	V/III		f	i		V/III	V					III		M	1	1	-2, 2, -1		-2.0	-2.0
65	64	3/8	III6		f	i		III6	III			6				M	1	1	1, -2, -3		-3.0	1.0
65	64	1/2	i(7)		f	i		i(7)	i				7			m	1	1	0, -3, 1	-2	0.0	0.0
65	64	5/8	iv43		f	i		iv43	iv			43				mm7	1	1	0, -3, -1, -4		-1.0	0.0
65	64	3/4	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
65	64	7/8	IVM7/III		f	i		IVM7/III	IV		M	7		III		MM7	1	1	-4, 0, -3, 1		-4.0	-4.0
66	65	0	vii%7/III		f	i		vii%7/III	vii		%	7		III		%7	1	1	2, 1, 8, 0		2.0	2.0
66	65	1/4	V(6)/III		f	i		V(6)/III	V				6	III		M	1	1	-2, 2, 1		-2.0	-2.0
66	65	3/8	V7/III		f	i		V7/III	V			7		III		Mm7	1	1	-2, 2, -1, -4		-2.0	-2.0
66	65	1/2	III		f	i		III	III							M	1	1	-3, 1, -2		-3.0	-3.0
66	65	5/8	viio/III		f	i		viio/III	vii		o			III		o	1	1	2, -1, -4		2.0	2.0
66	65	3/4	i7		f	i		i7	i			7				mm7	1	1	0, -3, 1, -2		0.0	0.0
66	65	7/8	v6		f	i		v6	v			6				m	1	1	-2, 2, 1		1.0	-2.0
67	66	0	VII		f	i		VII	VII							M	1	1	-2, 2, -1		-2.0	-2.0
67	66	1/4	V43/III		f	i		V43/III	V			43		III		Mm7	1	1	-1, -4, -2, 2		-2.0	-1.0
67	66	3/8	i6		f	i		i6	i			6				m	1	1	-3, 1, 0		0.0	-3.0
67	66	1/2	V6/III		f	i		V6/III	V			6		III		M	1	1	2, -1, -2		-2.0	2.0
67	66	3/4	i(4)		f	i		i(4)	i				4			m	1	1	0, -1, 1		0.0	0.0
67	66	7/8	V65		f	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
68	67	0	V43/VI		f	i		V43/VI	V			43		VI		Mm7	1	1	-2, -5, -3, 1		-3.0	-2.0
68	67	1/4	#vi%7		f	i		#vi%7	#vi		%	7				%7	1	1	3, 2, 9, 1		3.0	3.0
